,Batting_Hand,total_matches,total_runs,centuries,half_centuries,total_fours,total_sixes,total_dotballs,total_balls_faced,total_ducks,best_score,total_outs,batting_average,India,New Zealand,South Africa,Sri Lanka,West Indies,other,Legbreak googly,Right-arm fast-medium,Right-arm medium,Right-arm medium-fast,Right-arm offbreak,Slow left-arm orthodox,other_bowling
228,1,12,183,0,0,22,1,74,179,2,45,10,18.3,1,0,0,0,0,0,0,0,1,0,0,0,0
229,0,9,181,0,0,15,3,44,143,2,45,4,45.25,0,0,0,0,0,0,0,0,0,0,0,1,0
230,0,18,237,0,0,24,8,102,213,2,41,15,15.8,1,0,0,0,0,0,0,0,0,0,1,0,0
231,0,88,133,0,0,13,5,56,121,67,24,9,14.777777777777779,1,0,0,0,0,0,0,1,0,0,0,0,0
232,0,10,10,0,0,1,0,6,13,7,7,2,5.0,0,0,1,0,0,0,0,0,0,1,0,0,0
233,0,14,5,0,0,0,0,1,5,11,3,1,5.0,1,0,0,0,0,0,0,0,0,0,0,0,1
234,0,44,66,0,0,5,3,48,77,35,14,7,9.428571428571429,1,0,0,0,0,0,0,0,0,0,1,0,0
235,0,59,924,0,4,113,14,313,760,17,77,24,38.5,1,0,0,0,0,0,0,0,1,0,0,0,0
236,0,51,626,0,2,47,23,159,490,12,63,24,26.08333333333333,1,0,0,0,0,0,0,0,0,0,1,0,0
237,0,21,23,0,0,1,1,11,26,17,11,2,11.5,0,0,0,0,0,0,0,0,0,0,0,0,1
238,0,17,51,0,0,4,1,24,53,10,19,3,17.0,1,0,0,0,0,0,1,0,0,0,0,0,0
239,0,2,10,0,0,1,0,3,9,1,10,1,10.0,0,0,0,0,1,0,0,0,0,0,0,0,1
240,0,8,203,0,3,9,13,60,159,1,75,5,40.6,0,0,0,0,0,1,0,0,1,0,0,0,0
241,0,7,8,0,0,0,1,6,9,6,8,2,4.0,0,0,0,0,0,1,0,1,0,0,0,0,0
242,0,13,7,0,0,1,0,3,7,11,6,1,7.0,1,0,0,0,0,0,0,0,1,0,0,0,0
243,0,16,34,0,0,4,1,11,26,11,11,5,6.8,1,0,0,0,0,0,0,0,1,0,0,0,0
244,0,3,34,0,0,3,1,7,23,1,30,2,17.0,1,0,0,0,0,0,0,0,0,1,0,0,0
245,0,17,36,0,0,4,1,11,27,11,18,1,36.0,1,0,0,0,0,0,0,0,0,1,0,0,0
246,0,3,4,0,0,1,0,1,2,2,4,0,0.0,1,0,0,0,0,0,0,0,1,0,0,0,0
247,1,27,21,0,0,1,1,11,23,24,16,1,21.0,0,0,0,0,0,0,0,0,0,0,0,0,1
248,1,2,31,0,0,3,0,18,38,0,27,2,15.5,1,0,0,0,0,0,0,0,0,0,0,1,0
249,0,5,35,0,0,3,0,15,38,1,16,1,35.0,1,0,0,0,0,0,0,0,0,1,0,0,0
250,0,1,15,0,0,3,0,15,21,0,15,1,15.0,1,0,0,0,0,0,0,0,1,0,0,0,0
251,0,5,49,0,0,9,0,41,61,1,20,5,9.8,1,0,0,0,0,0,0,0,1,0,0,0,0
252,0,20,225,0,0,9,14,84,201,6,38,7,32.142857142857146,0,0,0,0,0,0,0,0,1,0,0,0,0
253,0,52,1304,0,11,145,40,479,1080,6,88,41,31.804878048780488,0,0,0,0,0,0,0,0,0,0,0,1,0
254,0,72,688,0,0,53,26,200,542,28,48,23,29.91304347826087,1,0,0,0,0,0,0,0,1,0,0,0,0
255,1,28,18,0,0,3,0,5,12,25,14,3,6.0,1,0,0,0,0,0,0,0,0,0,0,1,0
256,0,5,43,0,0,3,0,32,60,0,25,2,21.5,1,0,0,0,0,0,1,0,0,0,0,0,0
257,0,23,341,0,0,17,13,99,299,2,39,11,31.0,0,0,0,0,0,0,0,1,0,0,0,0,0
258,0,13,50,0,0,5,1,27,53,7,26,5,10.0,1,0,0,0,0,0,0,0,1,0,0,0,0
259,0,49,788,0,3,79,33,306,663,6,68,28,28.142857142857146,1,0,0,0,0,0,0,0,1,0,0,0,0
260,0,8,39,0,0,5,2,14,26,3,14,4,9.75,1,0,0,0,0,0,0,0,1,0,0,0,0
261,0,21,300,0,1,32,9,170,314,5,58,15,20.0,1,0,0,0,0,0,0,0,0,0,1,0,0
262,0,7,92,0,0,10,4,62,101,1,32,6,15.333333333333336,0,0,1,0,0,0,0,0,1,0,0,0,0
263,0,6,43,0,0,6,1,12,31,1,20,4,10.75,1,0,0,0,0,0,0,0,0,1,0,0,0
264,0,1,1,0,0,0,0,0,1,0,1,0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0
265,1,29,401,0,0,24,18,152,367,7,40,9,44.55555555555557,1,0,0,0,0,0,0,0,0,0,0,1,0
266,1,26,63,0,0,4,1,39,80,14,16,5,12.6,0,0,1,0,0,0,0,0,0,0,0,0,1
267,0,3,18,0,0,1,1,8,17,1,14,2,9.0,0,0,1,0,0,0,0,0,0,1,0,0,0
268,0,2,3,0,0,0,0,3,6,1,3,1,3.0,1,0,0,0,0,0,0,0,0,0,1,0,0
269,1,28,27,0,0,5,0,7,19,25,14,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,1
270,1,3,22,0,0,0,0,15,33,0,11,3,7.333333333333332,0,0,0,0,0,0,0,0,1,0,0,0,0
271,0,2,10,0,0,0,0,19,29,0,8,2,5.0,0,0,0,0,0,0,0,0,1,0,0,0,0
272,1,8,2,0,0,0,0,2,3,7,2,2,1.0,1,0,0,0,0,0,0,0,0,0,0,0,1
273,0,15,20,0,0,1,1,8,19,12,12,0,0.0,0,0,0,0,0,1,0,1,0,0,0,0,0
274,1,20,321,0,1,25,8,124,308,4,79,2,160.5,0,1,0,0,0,0,0,0,0,0,0,0,1
275,1,42,499,0,2,44,15,140,400,13,66,18,27.722222222222214,0,0,0,0,0,1,0,0,0,0,0,1,0
276,1,25,170,0,0,23,2,62,142,9,34,5,34.0,1,0,0,0,0,0,0,0,1,0,0,0,0
277,0,8,2,0,0,0,0,3,4,7,2,1,2.0,0,0,0,1,0,0,0,0,0,0,1,0,0
278,0,1,18,0,0,2,1,5,11,0,18,1,18.0,0,0,0,0,0,0,0,0,1,0,0,0,0
279,1,37,423,0,0,23,26,129,325,8,40,16,26.4375,0,0,0,1,0,0,0,0,0,1,0,0,0
280,0,2,26,0,0,0,1,8,23,0,15,1,26.0,0,1,0,0,0,0,0,0,0,0,1,0,0
281,0,5,3,0,0,0,0,2,4,3,2,1,3.0,0,1,0,0,0,0,0,0,0,0,0,0,1
282,1,11,29,0,0,4,0,11,27,6,13,1,29.0,1,0,0,0,0,0,0,0,0,0,0,1,0
283,0,29,326,0,1,26,15,80,238,11,70,12,27.16666666666667,0,0,0,0,0,1,0,0,0,1,0,0,0
284,1,5,75,0,0,9,2,27,59,0,27,5,15.0,0,0,0,0,0,0,0,0,1,0,0,0,0
285,1,12,10,0,0,1,0,7,14,9,5,1,10.0,1,0,0,0,0,0,0,0,0,0,0,1,0
286,1,4,20,0,0,0,0,8,26,1,13,1,20.0,1,0,0,0,0,0,0,0,1,0,0,0,0
287,0,4,73,0,0,9,0,36,78,0,29,4,18.25,0,0,0,0,0,0,0,0,1,0,0,0,0
288,1,7,120,0,1,21,2,48,91,1,51,6,20.0,0,0,0,0,0,0,0,0,0,0,0,0,1
289,0,1,7,0,0,1,0,0,4,0,7,0,0.0,1,0,0,0,0,0,0,0,0,1,0,0,0
290,0,3,0,0,0,0,0,2,2,3,0,0,0.0,1,0,0,0,0,0,0,0,0,1,0,0,0
291,1,3,21,0,0,2,0,12,26,0,13,2,10.5,0,0,1,0,0,0,0,0,0,0,0,0,0
292,0,48,24,0,0,1,0,44,62,39,6,6,4.0,1,0,0,0,0,0,0,0,0,0,0,1,0
293,0,8,1,0,0,0,0,2,3,7,1,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,1
294,0,9,98,0,0,9,0,58,119,1,23,2,49.0,0,0,0,0,0,0,0,0,1,0,0,0,0
295,0,36,42,0,0,2,2,22,45,31,17,1,42.0,1,0,0,0,0,0,0,0,0,0,0,0,1
296,1,13,12,0,0,2,0,5,11,10,7,1,12.0,1,0,0,0,0,0,0,0,0,0,0,1,0
297,0,4,0,0,0,0,0,13,13,4,0,1,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0
298,0,76,154,0,0,15,3,75,156,49,24,12,12.833333333333336,1,0,0,0,0,0,0,0,1,0,0,0,0
299,0,2,19,0,0,3,0,9,18,1,19,1,19.0,1,0,0,0,0,0,0,0,1,0,0,0,0
300,0,11,91,0,0,9,1,33,82,3,19,4,22.75,1,0,0,0,0,0,0,0,0,1,0,0,0
301,1,17,6,0,0,0,1,6,7,16,6,1,6.0,1,0,0,0,0,0,0,0,0,0,0,1,0
302,0,50,1287,0,8,109,38,357,1036,7,73,31,41.516129032258064,0,0,1,0,0,0,0,0,0,0,0,0,0
303,0,6,83,0,1,10,4,41,74,2,50,1,83.0,0,0,1,0,0,0,0,0,1,0,0,0,0
304,0,43,919,0,6,76,56,233,594,7,95,38,24.184210526315788,0,0,0,0,0,0,0,0,0,0,1,0,0
305,0,54,1241,1,2,113,33,291,933,7,101,24,51.70833333333334,1,0,0,0,0,0,1,0,0,0,0,0,0
306,0,10,132,0,0,8,5,68,142,0,46,0,0.0,0,0,0,0,1,0,0,0,0,0,1,0,0
307,0,45,503,0,1,46,18,147,390,13,60,22,22.863636363636363,1,0,0,0,0,0,0,0,0,0,1,0,0
308,0,25,116,0,0,9,8,29,70,14,32,5,23.2,0,0,0,0,1,0,0,0,1,0,0,0,0
309,0,52,473,0,0,32,23,119,346,13,46,20,23.65,0,0,0,0,0,0,0,0,0,0,0,0,1
310,0,34,47,0,0,2,3,15,38,25,10,7,6.7142857142857135,1,0,0,0,0,0,0,0,1,0,0,0,0
311,0,1,12,0,0,1,0,1,9,0,12,0,0.0,0,1,0,0,0,0,0,1,0,0,0,0,0
312,0,4,111,0,0,11,5,52,103,0,47,0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0
313,1,20,62,0,0,5,3,25,53,12,30,3,20.666666666666668,1,0,0,0,0,0,0,0,0,0,0,1,0
314,1,66,47,0,0,2,2,29,58,52,13,5,9.4,0,0,0,0,1,0,0,0,0,0,1,0,0
315,1,21,22,0,0,1,0,5,22,17,13,1,22.0,0,0,0,0,0,0,0,0,0,0,0,0,1
316,0,1,0,0,0,0,0,2,2,1,0,0,0.0,1,0,0,0,0,0,0,0,1,0,0,0,0
317,0,2,8,0,0,0,0,8,15,1,8,0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0
318,0,10,140,0,1,16,0,68,143,0,50,0,0.0,1,0,0,0,0,0,0,0,1,0,0,0,0
319,1,61,1480,1,8,100,74,346,1053,2,101,38,38.94736842105263,0,0,1,0,0,0,0,0,0,0,1,0,0
320,0,23,388,0,2,39,13,124,311,4,80,6,64.66666666666667,0,0,0,0,0,1,0,1,0,0,0,0,0
321,1,29,209,0,0,16,9,69,170,10,36,10,20.9,1,0,0,0,0,0,0,0,0,0,0,1,0
322,1,5,32,0,0,3,1,15,32,1,16,0,0.0,0,0,1,0,0,0,0,0,0,0,0,1,0
323,0,5,5,0,0,1,0,1,3,4,5,0,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0
324,0,31,280,0,0,16,15,61,196,8,36,8,35.0,1,0,0,0,0,0,0,0,1,0,0,0,0
325,0,9,0,0,0,0,0,1,1,9,0,0,0.0,1,0,0,0,0,0,0,0,1,0,0,0,0
326,0,9,125,0,1,13,2,48,116,2,55,3,41.66666666666666,1,0,0,0,0,0,0,0,1,0,0,0,0
327,0,6,98,0,0,12,0,43,96,0,41,0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0
328,0,28,342,0,1,36,9,107,280,8,51,14,24.42857142857143,1,0,0,0,0,0,0,0,0,0,1,0,0
329,0,4,87,0,0,7,2,28,77,0,31,0,0.0,1,0,0,0,0,0,1,0,0,0,0,0,0
330,0,12,164,0,0,15,2,72,167,2,42,3,54.66666666666666,1,0,0,0,0,0,0,0,0,0,0,0,0
331,0,3,12,0,0,0,1,3,9,1,11,0,0.0,1,0,0,0,0,0,0,0,1,0,0,0,0
332,0,33,5,0,0,0,0,9,14,31,4,1,5.0,1,0,0,0,0,0,0,0,1,0,0,0,0
333,0,34,574,0,3,48,37,128,350,9,66,18,31.88888888888889,0,0,0,0,1,0,0,0,0,0,0,0,1
334,0,12,4,0,0,0,0,3,7,11,4,0,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0
335,0,5,89,0,0,6,4,40,85,0,45,3,29.66666666666667,0,0,0,0,0,0,0,0,0,0,0,1,0
336,0,1,0,0,0,0,0,1,1,1,0,0,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0
337,0,7,125,0,0,11,1,54,134,0,49,1,125.0,1,0,0,0,0,0,0,0,0,0,1,0,0
338,0,41,877,0,7,96,20,279,700,5,83,31,28.29032258064516,1,0,0,0,0,0,0,0,0,0,1,0,0
339,0,22,280,0,0,23,1,142,323,1,46,13,21.538461538461537,1,0,0,0,0,0,0,0,0,0,1,0,0
340,1,2,14,0,0,3,0,8,13,1,14,0,0.0,0,0,0,1,0,0,0,0,1,0,0,0,0
341,0,7,19,0,0,2,0,10,23,3,14,1,19.0,1,0,0,0,0,0,0,0,1,0,0,0,0
342,0,2,4,0,0,0,0,5,9,1,4,0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0
343,0,6,2,0,0,0,0,5,6,5,2,0,0.0,1,0,0,0,0,0,0,0,1,0,0,0,0
344,0,34,728,0,2,72,26,262,580,4,67,25,29.12,1,0,0,0,0,0,0,0,1,0,0,0,0
345,0,35,3,0,0,0,0,5,8,32,1,1,3.0,1,0,0,0,0,0,0,0,0,0,0,0,1
346,0,23,10,0,0,0,0,13,22,18,5,2,5.0,1,0,0,0,0,0,0,1,0,0,0,0,0
347,1,3,23,0,0,0,0,8,27,1,12,1,23.0,0,0,0,1,0,0,0,0,0,0,0,0,0
348,1,12,51,0,0,3,2,26,52,8,23,4,12.75,0,0,0,0,1,0,0,1,0,0,0,0,0
349,0,39,285,0,1,18,17,53,178,23,82,7,40.714285714285715,0,0,1,0,0,0,0,1,0,0,0,0,0
350,0,52,1040,0,5,80,38,352,890,6,76,42,24.761904761904763,1,0,0,0,0,0,0,0,1,0,0,0,0
351,0,8,10,0,0,0,0,8,17,5,7,0,0.0,0,0,0,1,0,0,0,0,0,0,1,0,0
352,1,8,193,0,1,21,5,57,146,0,64,5,38.6,0,0,0,0,0,0,0,0,1,0,0,0,0
353,0,39,725,0,4,61,24,217,592,11,68,23,31.52173913043478,1,0,0,0,0,0,0,0,1,0,0,0,0
354,1,26,726,1,5,90,21,244,566,1,108,23,31.56521739130435,0,0,1,0,0,0,0,0,1,0,0,0,0
355,0,26,153,0,0,13,4,56,135,11,25,6,25.5,1,0,0,0,0,0,0,0,0,1,0,0,0
356,1,43,131,0,0,7,6,71,140,22,16,12,10.916666666666664,0,0,0,0,0,0,0,0,0,0,0,0,1
357,0,7,106,0,0,16,3,22,63,2,44,4,26.5,0,0,0,0,0,1,0,0,0,1,0,0,0
358,0,25,0,0,0,0,0,2,2,25,0,1,0.0,1,0,0,0,0,0,0,0,1,0,0,0,0
359,0,13,169,0,0,17,6,84,158,0,33,10,16.9,1,0,0,0,0,0,0,0,1,0,0,0,0
360,0,1,10,0,0,0,0,9,17,0,10,1,10.0,1,0,0,0,0,0,0,0,0,0,1,0,0
361,0,22,295,0,1,15,18,108,251,4,60,15,19.666666666666668,0,0,0,0,1,0,0,0,0,1,0,0,0
362,0,14,36,0,0,2,1,17,39,10,26,3,12.0,0,0,0,0,0,0,0,1,0,0,0,0,0
363,0,61,61,0,0,4,3,24,53,51,21,8,7.625,1,0,0,0,0,0,0,0,1,0,0,0,0
364,0,2,7,0,0,1,0,11,15,1,7,1,7.0,1,0,0,0,0,0,0,0,1,0,0,0,0
365,0,11,17,0,0,1,0,7,20,7,10,2,8.5,1,0,0,0,0,0,0,0,0,0,1,0,0
366,0,43,19,0,0,1,0,13,29,35,7,1,19.0,1,0,0,0,0,0,0,0,1,0,0,0,0
367,0,11,9,0,0,0,0,5,11,9,7,0,0.0,1,0,0,0,0,0,0,0,1,0,0,0,0
368,1,15,122,0,0,9,5,31,89,9,33,5,24.4,1,0,0,0,0,0,0,0,0,0,1,0,0
369,0,33,18,0,0,1,0,24,39,27,7,2,9.0,1,0,0,0,0,0,0,0,0,0,0,0,0
370,0,18,38,0,0,3,2,22,40,10,9,5,7.6,0,0,0,0,0,0,0,0,0,0,0,0,1
